"变量","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102","PC103","PC104","PC105","PC106","PC107","PC108","PC109","PC110","PC111","PC112","PC113","PC114","PC115","PC116","PC117","PC118","PC119","PC120","PC121","PC122","PC123","PC124","PC125"
"HB",-0.060553,0.022834,-0.242107,0.097,-0.0485,-0.207033,-0.109053,0.080682,0.110033,0.017711,-0.136841,-0.016317,0.087199,-0.076871,0,0.055016,-0.0485,0.135699,0.103516,-0.081825,-0.028371,0.199812,-0.054037,-0.081825,0.135699,-0.015613,-0.079289,-0.164069,0.032182,0.087199,0,0.135699,0,-0.006516,0.240357,0,-0.075146,0.103516,0.032182,-0.060553,0,0,0.026646,-0.040545,0.099434,-0.207033,0.055016,-0.109053,-0.015613,0.131887,-0.055016,-0.076871,0.186903,0.055016,-0.071334,0,-0.027228,-0.152016,0.087199,-0.028371,-0.071334,-0.10847,-0.104659,-0.060553,-0.004954,0.022834,-0.032182,0.080682,-0.039403,-0.021272,-0.032182,0.110033,0.00356,-0.039403,-0.020129,0.042963,-0.005537,0,-0.071334,-0.032182,-0.012053,-0.088341,-0.080682,-0.055016,-0.115569,0,0.020129,-0.032182,-0.109053,-0.026646,0.075146,0.035743,-0.135699,0.015613,0.020129,-0.242107,-0.097,-0.005537,0.012053,-0.032182,-0.104659,-0.076871,-0.104659,-0.0485,-0.064113,-0.055016,0.028371,0.131887,0.16763,-0.076288,-0.075146,0.164069,0.204615,-0.075146,-0.072728,-0.060553,-0.075146,0.020129,-0.012053,0.020129,0.00356,0.028371,-0.075146,-0.005537,0.040545
"SB",-0.002349,-0.038874,0.086406,0.195356,-0.097678,-0.00803,-0.100026,0.042889,-0.187326,-0.030153,-0.005308,-0.152467,-0.148452,-0.154816,0,-0.093663,-0.097678,-0.050774,0.004015,-0.09897,-0.057138,0.078349,-0.193689,-0.09897,-0.050774,-0.031445,-0.225508,-0.006364,-0.054789,-0.148452,0,-0.050774,0,0.191341,0.009322,0,0.053123,0.004015,-0.054789,-0.002349,0,0,-0.150801,0.069026,-0.169282,-0.00803,-0.093663,-0.100026,-0.031445,0.061153,0.093663,-0.154816,-0.03251,-0.093663,-0.058804,0,-0.001056,-0.101693,-0.148452,-0.057138,-0.058804,0.05183,-0.060097,-0.002349,0.055845,-0.038874,0.054789,0.042889,0.125108,-0.096622,0.054789,-0.187326,0.126774,0.125108,-0.04054,0.001666,-0.096011,0,-0.058804,0.054789,0.095329,0.09237,-0.042889,0.093663,0.091314,0,0.04054,0.054789,-0.100026,0.150801,-0.053123,0.071985,0.050774,0.031445,0.04054,0.086406,-0.195356,-0.096011,-0.095329,0.054789,-0.060097,-0.154816,-0.060097,-0.097678,-0.129123,0.093663,0.057138,0.061153,0.133138,-0.002959,0.053123,0.006364,-0.062663,0.053123,0.123816,-0.002349,0.053123,0.04054,0.095329,0.04054,0.126774,0.057138,0.053123,-0.096011,-0.069026
"PB",-0.841108,-0.458671,0.004178,0.026711,0.015296,-0.021024,-0.032885,0.029731,-0.033891,0.05646,-0.015483,0.013764,0.010174,-0.005765,0,0.026032,0.015296,0.023529,0.010512,0.031758,0.000427,-0.0432,0.036125,0.031758,0.023529,-0.056011,0.029749,-0.029929,-0.001532,-0.018478,0,0.023529,0,0.00165,-0.02409,0,0.024651,0.010512,-0.001532,0.005681,0,0,0.033622,0.009094,0.009591,0.036279,0.026032,0.024419,-0.056011,0.031797,0.016946,-0.005765,-0.010219,0.026032,0.030709,0,-0.055633,-0.009766,-0.018478,0.000427,0.030709,0.012462,0.004194,0.005681,0.066175,0.020402,0.001532,0.029731,0.015653,-0.048994,0.001532,0.023412,0.00686,0.015653,-0.020946,-0.030366,0.020829,0,0.030709,0.001532,0.029642,0.026245,0.056225,-0.026032,0.011743,0,0.020946,0.001532,0.024419,0.023681,0.061304,-0.016161,0.0481,0.056011,0.020946,0.004178,0.030592,0.020829,0.063477,0.001532,0.004194,-0.005765,0.004194,0.015296,0.002263,-0.026032,-0.000427,0.031797,-0.034505,0.011069,0.024651,-0.027375,-0.036133,0.024651,-0.010863,0.005681,0.024651,0.020946,0.029642,0.020946,0.00686,-0.000427,0.024651,0.020829,-0.009094
