"变量","中心"
"C-LLB",45.144
"C-RLB",46.416
"T-LLB",39.224
"T-RLB",38.424
"L-LLB",28.104
"L-RLB",27.704
"C-FFT",72.648
"C-BF",58.8
"T-FFT",71.056
"T-BF",41.36
"L-FFT",122.304
"L-BF",46.184
"C-LHR",73.24
"C-RHR",73.784
"T-LHR",37.672
"T-RHR",38.28
"L-LHR",51.144
"L-RHR",50.472
