"变量","标准差"
"C-LLB",9.87804995774682
"C-RLB",9.27377850403682
"T-LLB",12.0421732043627
"T-RLB",12.2535472151879
"L-LLB",6.90584605080502
"L-RLB",7.56479963702854
"C-FFT",12.769833403819
"C-BF",13.4817678557424
"T-FFT",18.3502236955689
"T-BF",11.6925672558364
"L-FFT",21.6840300979851
"L-BF",17.7143025865833
"C-LHR",8.73664880020163
"C-RHR",9.58710827941827
"T-LHR",12.9831006784129
"T-RHR",15.3468500498185
"L-LHR",18.6917715206624
"L-RHR",18.7988400465767
